query,category
"I want to see snow and mountains","Hill Station"
"trekking in the Himalayas","Hill Station"
"cold weather and skiing","Hill Station"
"honeymoon in the hills","Hill Station"
"visit a hill station with my family","Hill Station"
"scenic mountain views and fresh air","Hill Station"
"go to a beach and relax","Beach"
"sun sand and sea","Beach"
"beach party and nightlife","Beach"
"scuba diving and water sports","Beach"
"tropical island vacation","Beach"
"peaceful beach walk during sunset","Beach"
"historical monuments and palaces","Heritage"
"ancient temples and architecture","Heritage"
"royal history of India","Heritage"
"visit forts and museums","Heritage"
"cultural heritage and traditions","Heritage"
"explore the ruins of an empire","Heritage"
"spiritual retreat and yoga","Spiritual"
"visit holy temples and ghats","Spiritual"
"meditation and peace of mind","Spiritual"
"religious pilgrimage trip","Spiritual"
"holy river and evening aarti","Spiritual"
"find inner peace at an ashram","Spiritual"
"lush green forest and wildlife","Nature"
"nature walk and bird watching","Nature"
"tea plantations and waterfalls","Nature"
"serene backwaters and greenery","Nature"
"eco-friendly stay in nature","Nature"
"explore the flora and fauna","Nature"
"adventure sports and trekking","Adventure"
"river rafting and bungee jumping","Adventure"
"camping under the stars","Adventure"
"bike trip to high mountains","Adventure"
"thrilling experience in the wild","Adventure"
"paragliding and desert safari","Adventure"
"desert camel safari and dunes","Desert"
"golden sands and desert nights","Desert"
"stay in a tent in the desert","Desert"
"explore the thar desert","Desert"
"rajasthani desert culture","Desert"
"peaceful lakes and boat rides","Nature"
"romantic lake view dinner","Nature"
"boating in the backwaters","Nature"
"sunset over the lake","Nature"
"french architecture and culture","Cultural"
"colonial history and food","Cultural"
"authentic local food and shopping","Cultural"
"vibrant local markets and bazaars","Cultural"
"experience different cultures","Cultural"
"high altitude desert and monks","Adventure"
"snow capped peaks and monasteries","Adventure"
"remote mountain villages","Hill Station"
"quiet getaway from city life","Nature"
"weekend trip to nearby hills","Hill Station"
"luxury stay at a beach resort","Beach"
"budget friendly backpacking trip","Adventure"
"family vacation with kids","Heritage"
"solo trip for self discovery","Spiritual"
"photography trip for nature","Nature"
"trekking to the highest peak","Adventure"
"surfing in the ocean","Beach"
"old world charm and architecture","Heritage"
"majestic palaces and forts","Heritage"
"yoga capital of the world","Spiritual"
"backwaters of south india","Nature"
"tea gardens and misty hills","Nature"
"white sand beaches and corals","Beach"
"golden sandstone architecture","Heritage"
"ancient ruins and boulders","Heritage"
"palace of the winds and history","Heritage"
"holy city on the banks of ganges","Spiritual"
"gateway to the himalayas","Hill Station"
"scotland of india and coffee","Nature"
"queen of hill stations","Hill Station"
"venice of the east and houseboats","Nature"
"french quarter and spirituality","Cultural"
"strawberry farms and viewpoints","Hill Station"
"group of temples and sculptures","Heritage"
"princess of hill stations","Hill Station"
"group of monuments and history","Heritage"
"I want a budget trip to mountains","Hill Station"
"Where can I find snow in summer","Hill Station"
"Best places for trekking for beginners","Adventure"
"I need a romantic getaway at a beach","Beach"
"Show me some historical cities in Rajasthan","Heritage"
"Peaceful ashrams for meditation","Spiritual"
"Wildlife sanctuary and safari","Nature"
"River rafting and camping spots","Adventure"
"Tea gardens and scenic beauty","Nature"
"Houseboat stay in backwaters","Nature"
"White sand beaches for honeymoon","Beach"
"Ancient cave temples and ruins","Heritage"
"Hill stations with toy train","Hill Station"
"Spiritual places near Ganga river","Spiritual"
"Adventure activities like paragliding","Adventure"
"Palaces and forts of royal India","Heritage"
"Lush green hills and waterfalls","Nature"
"Desert camping and camel safari","Desert"
"French colonial architecture and cafes","Cultural"
"Quiet and peaceful mountain villages","Hill Station"
"Backpacking trip to Himachal","Hill Station"
"Surfing and nightlife in Goa","Beach"
"Yoga and wellness retreats","Spiritual"
"Coffee plantations and nature walks","Nature"
"Buddhist monasteries and mountains","Adventure"
"Erotic sculptures and ancient temples","Heritage"
"Scenic drives and hill viewpoints","Hill Station"
"Scuba diving in clear blue water","Beach"
"Historical ruins and bouldering","Heritage"
"Islands with coral reefs","Beach"
"Cultural capital and heritage sites","Heritage"
"Strawberry picking and viewpoints","Hill Station"
"Yoga capital and adventure sports","Spiritual"
"Backwaters and ayurvedic massage","Nature"
"Tea museum and wildlife","Nature"
"Golden city and sand dunes","Desert"
"Ruins of ancient empire","Heritage"
"City of lakes and palaces","Heritage"
"Pink city and royal history","Heritage"
"Spiritual heart of India","Spiritual"
"High altitude adventure trip","Adventure"
"Beach party and seafood","Beach"
"Mountain biking and camping","Adventure"
"Heritage walk and street food","Cultural"
"Religious pilgrimage to south India","Spiritual"
"Mist covered hills and nature","Nature"
"Pristine beaches and serenity","Beach"
"Architecture of the mughals","Heritage"
"Trekking to the base camp","Adventure"
"Yoga by the beach","Spiritual"
"Mountain resort with pool","Hill Station"
"Water sports and island hopping","Beach"
"Handicrafts and cultural tours","Cultural"
"Spiritual awakening in the mountains","Spiritual"
"Best sunset points in hills","Hill Station"
"Caves and ancient rock carvings","Heritage"
"Bird watching in the forest","Nature"
"Kayaking in the river","Adventure"
"Traditional dance and music","Cultural"
"Temple architecture of India","Heritage"
